year,region,school,student
2022,영등포구,유치원,19.1
2022,영등포구,초등학교,20.5
2022,영등포구,중학교,23.4
2022,영등포구,고등학교,23.2
2022,동작구,유치원,20.1
2022,동작구,초등학교,21.5
2022,동작구,중학교,23.6
2022,동작구,고등학교,23.4
2022,관악구,유치원,15.2
2022,관악구,초등학교,19.7
2022,관악구,중학교,22.6
2022,관악구,고등학교,22.2
2022,서초구,유치원,17.4
2022,서초구,초등학교,25.3
2022,서초구,중학교,27.7
2022,서초구,고등학교,24.8
2022,강남구,유치원,16.7
2022,강남구,초등학교,25.2
2022,강남구,중학교,29.7
2022,강남구,고등학교,24.7
2022,송파구,유치원,19.9
2022,송파구,초등학교,22.1
2022,송파구,중학교,24.5
2022,송파구,고등학교,23
2022,강동구,유치원,20.5
2022,강동구,초등학교,21.7
2022,강동구,중학교,24.1
2022,강동구,고등학교,23.8
2021,전체,유치원,18.9
2021,전체,초등학교,21.7
2021,전체,중학교,24.5
2021,전체,고등학교,23.5
2021,종로구,유치원,19.9
2021,종로구,초등학교,19
2021,종로구,중학교,20.8
2021,종로구,고등학교,22.9
2021,중구,유치원,17.3
2021,중구,초등학교,20.1
2021,중구,중학교,16.6
2021,중구,고등학교,22.4
2021,용산구,유치원,21.8
2021,용산구,초등학교,19.2
2021,용산구,중학교,21.2
2021,용산구,고등학교,20.5
2021,성동구,유치원,18.1
2021,성동구,초등학교,19.2
2021,성동구,중학교,22.9
2021,성동구,고등학교,19.4
2021,광진구,유치원,18.8
2021,광진구,초등학교,22.1
2021,광진구,중학교,25.8
2021,광진구,고등학교,26.1
2021,동대문구,유치원,19.2
2021,동대문구,초등학교,21.5
2021,동대문구,중학교,23.4
2021,동대문구,고등학교,23
2021,중랑구,유치원,16.8
2021,중랑구,초등학교,20.1
2021,중랑구,중학교,22.8
2021,중랑구,고등학교,22.2
2021,성북구,유치원,19.4
2021,성북구,초등학교,22.2
2021,성북구,중학교,24.1
2021,성북구,고등학교,23.3
2021,강북구,유치원,15.2
2021,강북구,초등학교,21.1
2021,강북구,중학교,24.8
2021,강북구,고등학교,24.9
2021,도봉구,유치원,18.6
2021,도봉구,초등학교,20.7
2021,도봉구,중학교,22.8
2021,도봉구,고등학교,22.2
2021,노원구,유치원,18.8
2021,노원구,초등학교,21
2021,노원구,중학교,24.1
2021,노원구,고등학교,22.8
2021,은평구,유치원,17.5
2021,은평구,초등학교,21.8
2021,은평구,중학교,24.2
2021,은평구,고등학교,23.6
2021,서대문구,유치원,20.7
2021,서대문구,초등학교,22
2021,서대문구,중학교,22.2
2021,서대문구,고등학교,24.5
2021,마포구,유치원,20.7
2021,마포구,초등학교,21.5
2021,마포구,중학교,25.4
2021,마포구,고등학교,24.6
2021,양천구,유치원,18.3
2021,양천구,초등학교,23.3
2021,양천구,중학교,26.7
2021,양천구,고등학교,24.9
2021,강서구,유치원,19.4
2021,강서구,초등학교,21.3
2021,강서구,중학교,24.4
2021,강서구,고등학교,23
2021,구로구,유치원,19
2021,구로구,초등학교,20.5
2021,구로구,중학교,23.2
2021,구로구,고등학교,24.2
2021,금천구,유치원,16.7
2021,금천구,초등학교,18.8
2021,금천구,중학교,22.5
2021,금천구,고등학교,22.2
2021,영등포구,유치원,20.3
2021,영등포구,초등학교,20.7
2021,영등포구,중학교,23.3
2021,영등포구,고등학교,23.4
2021,동작구,유치원,20.2
2021,동작구,초등학교,22.1
2021,동작구,중학교,24.3
2021,동작구,고등학교,24.6
2021,관악구,유치원,16.1
2021,관악구,초등학교,20.1
2021,관악구,중학교,23.4
2021,관악구,고등학교,22.6
2021,서초구,유치원,18.1
2021,서초구,초등학교,25.4
2021,서초구,중학교,27.5
2021,서초구,고등학교,25.2
2021,강남구,유치원,17.7
2021,강남구,초등학교,25.8
2021,강남구,중학교,29.7
2021,강남구,고등학교,25
2021,송파구,유치원,20.4
2021,송파구,초등학교,22.4
2021,송파구,중학교,24.8
2021,송파구,고등학교,23.8
2021,강동구,유치원,21.1
2021,강동구,초등학교,21.6
2021,강동구,중학교,24
2021,강동구,고등학교,24
2020,전체,유치원,18.2
2020,전체,초등학교,22.1
2020,전체,중학교,23.9
2020,전체,고등학교,23.7
2020,종로구,유치원,18.4
2020,종로구,초등학교,19.3
2020,종로구,중학교,20.8
2020,종로구,고등학교,23.1
2020,중구,유치원,14.4
2020,중구,초등학교,20.5
2020,중구,중학교,16.6
2020,중구,고등학교,23.4
2020,용산구,유치원,20.7
2020,용산구,초등학교,19.6
