학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000008115,증산중학교,중학교,1986-04-17,공립,본교,운영,서울특별시 은평구 증산동 산24-4,서울특별시 은평구 증산로5길 27-30,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.58344275,126.904157,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008141,중앙여자중학교,중학교,1940-10-10,사립,본교,운영,서울특별시 서대문구 북아현동 190-1,서울특별시 서대문구 북아현로11가길 7,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.56317672,126.9540593,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008232,대신중학교,중학교,1938-04-05,사립,본교,운영,서울특별시 종로구 행촌동 171-1,서울특별시 종로구 사직로 9,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2024-07-09,37.573109,126.9612546,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008432,건국대학교사범대학부속중학교,중학교,1968-05-15,사립,본교,운영,서울특별시 광진구 화양동 528-4,서울특별시 광진구 자양로 145-1,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2024-07-09,37.54172407,127.0815971,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008231,청운중학교,중학교,1952-02-01,공립,본교,운영,서울특별시 종로구 청운동 89-142,서울특별시 종로구 창의문로 51,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2024-07-09,37.58917094,126.971096,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008194,방학중학교,중학교,1982-04-15,공립,본교,운영,서울특별시 도봉구 방학동 313,서울특별시 도봉구 시루봉로 188,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-07-09,37.66545122,127.030859,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008254,보성여자중학교,중학교,1907-10-10,사립,본교,운영,서울특별시 용산구 용산동2가 1-1123,서울특별시 용산구 신흥로3가길 66,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2024-07-09,37.54308154,126.9842842,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008443,고명중학교,중학교,1955-05-20,사립,본교,운영,서울특별시 성북구 돈암동 45-88,서울특별시 성북구 북악산로 870,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2024-07-09,37.59767468,127.0191869,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008439,개운중학교,중학교,2006-03-01,공립,본교,운영,서울특별시 성북구 돈암동 83-145,서울특별시 성북구 북악산로 935,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2024-07-09,37.59462665,127.0248421,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008262,잠신중학교,중학교,1984-04-25,공립,본교,운영,서울특별시 송파구 잠실동 22-1,서울특별시 송파구 잠실로 12,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.51613937,127.087802,2024-09-20,B555223,재단법인한국지방교육행정연구재단
